district,province,year,indicator,value,unit,source_field
Gwadar,Balochistan,2023,Population,305160.0,people,t1_2023_pop_total
Gwadar,Balochistan,2023,Male population,160744.0,people,t1_2023_pop_male
Gwadar,Balochistan,2023,Female population,144385.0,people,t1_2023_pop_female
Gwadar,Balochistan,2023,Transgender population,31.0,people,t1_2023_pop_transgender
Gwadar,Balochistan,2023,Area,12637.0,km²,t1_2023_area_sq_km
Gwadar,Balochistan,2023,Population density,24.15,people per km²,t1_2023_density_per_sq_km
Gwadar,Balochistan,2023,Urban population share,52.12,%,t1_2023_urban_proportion
Gwadar,Balochistan,2023,Average household size,6.0,people per household,t1_2023_avg_household_size
Gwadar,Balochistan,2023,"Literacy, ages 10+",50.3,%,t12_2023_literacy_ratio_all
Gwadar,Balochistan,2023,"Male literacy, ages 10+",57.62,%,t12_2023_literacy_ratio_male
Gwadar,Balochistan,2023,"Female literacy, ages 10+",42.19,%,t12_2023_literacy_ratio_female
Gwadar,Balochistan,2023,"Out-of-school children, ages 5–16",33621.0,children,t12_2023_out_of_school_5_16
