district_key,district,province,merged_district,n_px,pop_2020,mot_mean,mot_median,mot_popw_mean,mot_popw_median,wal_mean,wal_median,wal_popw_mean,wal_popw_median,mot_pct_pop_gt30,mot_pct_pop_gt60,mot_pct_pop_gt120,wal_pct_pop_gt30,wal_pct_pop_gt60,wal_pct_pop_gt120,release
bagh,Bagh,Azad Jammu & Kashmir,0,991,369027,51.4,29.8,36.0,22.2,153.0,142.0,125.3,112.0,36.2,17.9,6.9,85.3,73.8,47.4,2026-09
bhimber,Bhimber,Azad Jammu & Kashmir,0,1647,366118,41.8,39.1,36.9,34.0,148.1,145.0,131.8,131.0,53.5,22.7,0.4,93.5,85.3,58.4,2026-09
hattian,Hattian,Azad Jammu & Kashmir,0,985,210273,121.5,99.7,86.5,55.8,427.9,425.0,367.3,334.0,67.6,46.9,26.3,100.0,100.0,97.9,2026-09
haveli,Haveli,Azad Jammu & Kashmir,0,737,136359,85.6,64.8,71.7,50.9,320.8,312.0,283.6,270.0,81.7,41.9,17.7,100.0,100.0,97.5,2026-09
kotli,Kotli,Azad Jammu & Kashmir,0,2259,704437,36.6,29.7,30.0,24.7,228.6,233.0,219.8,225.0,36.2,10.0,0.3,99.0,97.1,84.4,2026-09
mirpur,Mirpur,Azad Jammu & Kashmir,0,1263,314681,19.0,15.1,11.8,9.3,120.1,112.0,90.5,73.0,6.1,0.3,0.0,82.3,60.9,27.5,2026-09
muzaffarabad,Muzaffarabad,Azad Jammu & Kashmir,0,1964,530892,84.9,53.2,40.1,14.8,241.2,236.0,151.1,135.0,35.9,21.8,9.9,74.8,64.4,53.2,2026-09
neelum,Neelum,Azad Jammu & Kashmir,0,4485,137346,400.7,367.3,321.6,284.9,1032.4,1017.0,901.1,859.0,100.0,97.2,88.0,100.0,100.0,100.0,2026-09
poonch,Poonch,Azad Jammu & Kashmir,0,1024,485278,21.2,16.0,16.3,11.7,127.9,124.0,108.0,104.0,15.3,2.7,0.0,87.3,73.4,40.8,2026-09
sudhnutti,Sudhnutti,Azad Jammu & Kashmir,0,768,276014,31.3,26.1,27.5,22.9,217.4,222.0,216.6,224.0,33.8,4.7,0.1,100.0,100.0,96.5,2026-09
awaran,Awaran,Balochistan,0,32553,147266,338.5,291.9,226.0,166.5,1183.9,1182.0,957.2,996.0,89.6,83.0,63.9,99.1,97.6,94.4,2026-09
barkhan,Barkhan,Balochistan,0,4707,123592,159.9,147.5,134.7,120.2,1233.9,1243.0,1195.5,1189.0,100.0,95.5,50.1,100.0,100.0,100.0,2026-09
chaghi,Chaghi,Balochistan,0,59319,128771,382.8,338.0,277.6,220.2,1773.7,1828.0,1292.4,1103.0,98.0,94.5,77.7,99.8,99.2,97.9,2026-09
dera bugti,Dera Bugti,Balochistan,0,13675,226575,216.6,190.9,166.2,128.4,580.9,577.0,519.4,518.0,91.1,74.9,52.3,98.9,97.8,95.9,2026-09
gwadar,Gwadar,Balochistan,0,14786,207031,156.3,132.3,133.4,114.4,1058.9,1111.0,1148.7,1194.0,98.1,95.1,45.2,99.9,99.8,99.5,2026-09
