dd_id,tehsil,district_key,province,merged_district,n_px,pop_2020,mot_mean,mot_popw_mean,wal_mean,wal_popw_mean,mot_pct_pop_gt30,mot_pct_pop_gt60,mot_pct_pop_gt120,wal_pct_pop_gt30,wal_pct_pop_gt60,wal_pct_pop_gt120,release
9618217B73079690921862,Bagh,bagh,Azad Jammu & Kashmir,0,630,220343.0,46.0,25.8,130.4,90.4,23.7,10.8,5.1,75.4,57.8,24.4,2026-09
9618217B97675599580596,Dheerkot,bagh,Azad Jammu & Kashmir,0,323,134706.0,57.6,52.6,181.2,175.3,60.0,30.7,8.8,100.0,98.0,81.8,2026-09
9618217B79573260848394,Barnala,bhimber,Azad Jammu & Kashmir,0,579,122638.0,60.8,60.1,189.2,159.2,99.1,50.8,0.2,100.0,100.0,70.6,2026-09
9618217B68732265330698,Bhimber,bhimber,Azad Jammu & Kashmir,0,510,97700.0,29.6,20.8,107.8,82.0,27.4,5.4,0.1,78.3,57.6,27.4,2026-09
9618217B74772899110096,Samahni,bhimber,Azad Jammu & Kashmir,0,487,121209.0,29.6,24.9,136.2,139.7,23.7,8.6,0.6,96.4,88.9,67.2,2026-09
9618217B68754169353282,Hattian Bala,hattian,Azad Jammu & Kashmir,0,922,201229.0,121.8,85.9,424.5,363.2,67.2,46.2,26.0,100.0,100.0,98.4,2026-09
9618217B64863264884629,Haveli,haveli,Azad Jammu & Kashmir,0,706,135960.0,81.2,67.3,309.7,273.9,78.5,38.4,15.5,100.0,100.0,97.7,2026-09
9618217B93166287325125,Kotli,kotli,Azad Jammu & Kashmir,0,1293,503775.0,31.2,24.8,211.1,196.0,25.3,5.6,0.1,98.6,96.5,80.7,2026-09
9618217B15093186041287,Nakial,kotli,Azad Jammu & Kashmir,0,238,106942.0,53.6,50.0,337.0,335.5,81.6,25.2,0.7,100.0,100.0,100.0,2026-09
9618217B87362341551768,Sehnsa,kotli,Azad Jammu & Kashmir,0,673,89917.0,39.4,31.8,218.0,204.9,34.4,13.3,0.6,99.8,97.2,85.8,2026-09
9618217B37808039502792,Dudyal,mirpur,Azad Jammu & Kashmir,0,442,83861.0,22.6,15.7,144.0,116.5,9.5,1.1,0.0,93.9,80.1,46.5,2026-09
9618217B94086344698677,Mirpur,mirpur,Azad Jammu & Kashmir,0,809,228278.0,17.3,11.0,112.6,84.0,6.2,0.1,0.0,79.9,56.8,23.1,2026-09
9618217B57894485120071,Muzaffarabad,muzaffarabad,Azad Jammu & Kashmir,0,1836,495615.0,85.5,40.3,241.8,151.8,34.7,21.9,10.5,73.1,63.1,53.1,2026-09
9618217B55768510626440,Athumqam,neelum,Azad Jammu & Kashmir,0,4254,134093.0,401.1,314.3,1028.6,886.4,100.0,96.1,85.8,100.0,100.0,100.0,2026-09
9618217B83205974251307,Abbaspur,poonch,Azad Jammu & Kashmir,0,143,49977.0,29.3,26.4,184.3,171.4,34.8,5.8,0.0,100.0,100.0,93.1,2026-09
9618217B82484311896760,Hajeera,poonch,Azad Jammu & Kashmir,0,331,172570.0,20.6,17.4,111.0,104.2,16.8,2.9,0.0,90.2,73.9,32.5,2026-09
9618217B87664867246475,Rawalakot,poonch,Azad Jammu & Kashmir,0,506,253591.0,17.4,12.5,121.1,95.8,8.8,0.9,0.0,82.4,67.4,34.5,2026-09
9618217B46803973144296,Pallandari,sudhnutti,Azad Jammu & Kashmir,0,800,285391.0,32.6,28.4,217.3,216.0,34.5,6.5,0.1,100.0,100.0,95.0,2026-09
9618217B88045410049707,Awaran,awaran,Balochistan,0,6746,24588.0,406.0,276.0,1565.0,1393.0,100.0,100.0,75.0,100.0,100.0,100.0,2026-09
9618217B50287416070494,Gishkore Sub,awaran,Balochistan,0,5917,15787.0,444.2,358.1,1365.4,1346.9,96.4,88.7,83.3,100.0,100.0,100.0,2026-09
9618217B51211868721813,Jhal Jhao,awaran,Balochistan,0,1907,6778.0,303.6,255.2,1024.7,999.0,100.0,100.0,87.1,100.0,100.0,100.0,2026-09
