pcode4,stratum,n_districts,districts,division,assignable_to_district
1102,urban,8,Bajaur; Bonair; Chitral; Lower Dir; Malakand; Shangla; Swat; Upper Dir,MALAKAND,False
1111,rural,1,Chitral,Chitral,True
1121,rural,1,Upper Dir,Upper Dir,True
1131,rural,1,Lower Dir,Lower Dir,True
1141,rural,1,Swat,Swat,True
1151,rural,1,Shangla,Shangla,True
1161,rural,1,Bonair,Bonair,True
1171,rural,1,Malakand,Malakand,True
1181,rural,1,Bajaur,Bajaur,True
1202,urban,6,Abbottabad; Batagram; Haripur; Kohistan; Manshera; Tor Garh,HAZARA,False
1211,rural,1,Kohistan,Kohistan,True
1221,rural,1,Manshera,Manshera,True
1231,rural,1,Batagram,Batagram,True
1241,rural,1,Abbottabad,Abbottabad,True
1251,rural,1,Haripur,Haripur,True
1261,rural,1,Tor Garh,Tor Garh,True
1302,urban,2,Mardan; Swabi,MARDAN,False
1311,rural,1,Mardan,Mardan,True
1321,rural,1,Swabi,Swabi,True
1402,urban,5,Charsada; Khyber; Mohmand; Nowsehra; Peshawar,PESHAWAR,False
1411,rural,1,Charsada,Charsada,True
1421,rural,1,Peshawar,Peshawar,True
1431,rural,1,Nowsehra,Nowsehra,True
1441,rural,1,Khyber,Khyber,True
1451,rural,1,Mohmand,Mohmand,True
1502,urban,5,Hangu; Karak; Kohat; Kurram; Orakzai,KOHAT,False
1511,rural,1,Kohat,Kohat,True
1521,rural,1,Hangu,Hangu,True
1531,rural,1,Karak,Karak,True
1541,rural,1,Kurram,Kurram,True
1551,rural,1,Orakzai,Orakzai,True
1602,urban,3,Bannu; Lakki Marwat; North Waziristan,BANNU,False
1611,rural,1,Bannu,Bannu,True
1621,rural,1,Lakki Marwat,Lakki Marwat,True
1631,rural,1,North Waziristan,North Waziristan,True
1702,urban,3,D. I. Khan; South Waziristan; Tank,D.I.KHAN,False
1711,rural,1,D. I. Khan,D. I. Khan,True
1721,rural,1,Tank,Tank,True
1731,rural,1,South Waziristan,South Waziristan,True
2102,urban,4,Attock; Chakwal; Jehlum; Rawalpindi,RAWALPINDI,False
2111,rural,1,Attock,Attock,True
2121,rural,1,Rawalpindi,Rawalpindi,True
2131,rural,1,Jehlum,Jehlum,True
2141,rural,1,Chakwal,Chakwal,True
2202,urban,4,Bhakhar; Khushab; Mianwali; Sargodha,SARGODHA,False
2211,rural,1,Sargodha,Sargodha,True
2221,rural,1,Bhakhar,Bhakhar,True
2231,rural,1,Khushab,Khushab,True
2241,rural,1,Mianwali,Mianwali,True
2302,urban,4,Chiniot; Faisalabad; Jhang; T.T. Singh,FAISALABAD,False
2311,rural,1,Faisalabad,Faisalabad,True
2321,rural,1,Chiniot,Chiniot,True
2331,rural,1,Jhang,Jhang,True
