tehsil_code,tehsil,district_code,district,province,mouzas,dd_id,dd_name,dd_district,match,dd_candidates
0071,FORT ABBAS (CHOLISTAN),999,CHOLISTAN,PUNJAB,46,9618217B32335001423443,Fort Abbas,BAHAWALNAGAR,contained,
0079,YAZMAN (CHOLISTAN),999,CHOLISTAN,PUNJAB,144,9618217B66821366213948,Yazman,BAHAWALPUR,contained,
0081,LIAQUATPUR (CHOLISTAN),999,CHOLISTAN,PUNJAB,133,9618217B37482241380967,Liaqat Pur,RAHIMYARKHAN,variant,
001,BANNU,001,BANNU DISTRICT,KHYBER PAKHTUNKHWA,176,9618217B86252139157568,Bannu,BANNU,exact_name,
002,DOMEL,001,BANNU DISTRICT,KHYBER PAKHTUNKHWA,17,9618217B66102957616794,Domel,BANNU,exact_name,
603,SUB-DIVISION WAZIR BANNU,001,BANNU DISTRICT,KHYBER PAKHTUNKHWA,158,9618217B86252139157568,Bannu,BANNU,contained,
637,BAKA KHEL,001,BANNU DISTRICT,KHYBER PAKHTUNKHWA,11,9618217B87633366072343,Fr Bannu,BANNU,parent,
638,MIRYAN,001,BANNU DISTRICT,KHYBER PAKHTUNKHWA,37,9618217B86252139157568,Bannu,BANNU,parent,
003,LAKKI MARWAT,002,LAKKI MARWAT DISTRICT,KHYBER PAKHTUNKHWA,103,9618217B28791527725555,Lakki Marwat,LAKKIMARWAT,exact_name,
004,SARAI NAURANG,002,LAKKI MARWAT DISTRICT,KHYBER PAKHTUNKHWA,66,9618217B19630672602920,Naurang,LAKKIMARWAT,contained,
604,SUB-DIVISION  BHETTANI LAKKI MARWAT,002,LAKKI MARWAT DISTRICT,KHYBER PAKHTUNKHWA,44,9618217B28791527725555,Lakki Marwat,LAKKIMARWAT,contained,
005,D.I.KHAN TEHSIL,003,DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,120,9618217B8526825785603,D.I.Khan,DERAISMAILKHAN,exact_name,
006,DARABAN TEHSIL,003,DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,41,9618217B74425880095030,Daraban,DERAISMAILKHAN,exact_name,
007,KULACHI TEHSIL,003,DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,26,9618217B58016841629421,Kulachi,DERAISMAILKHAN,exact_name,
008,PAHAR PUR TEHSIL,003,DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,88,9618217B57090337990309,Paharpur,DERAISMAILKHAN,exact_name,
009,PAROA,003,DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,112,9618217B16017881368538,Paroa,DERAISMAILKHAN,exact_name,
605,DRAZANDA SUB-DIVISION,003,DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,39,9618217B12477470393515,Fr D.I.Khan,DERAISMAILKHAN,parent,
010,TANK,004,TANK DISTRICT,KHYBER PAKHTUNKHWA,87,9618217B89518197918808,Tank,TANK,exact_name,
606,JANDOLA SUB-DIVISION,004,TANK DISTRICT,KHYBER PAKHTUNKHWA,13,9618217B51909263256707,Fr Tank,TANK,parent,
011,ABBOTTABAD TEHSIL,005,ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,176,9618217B58090762247590,Abbottabad,ABBOTTABAD,exact_name,
012,HAVELIAN,005,ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,72,9618217B10477128024963,Havelian,ABBOTTABAD,exact_name,
617,LORA,005,ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,37,9618217B58090762247590,Abbottabad,ABBOTTABAD,approx,
618,LOWER TANAWAL,005,ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,64,9618217B58090762247590,Abbottabad,ABBOTTABAD,approx,
013,ALLAI,006,BATAGRAM DISTRICT,KHYBER PAKHTUNKHWA,44,9618217B82118214800407,Alai,BATAGRAM,fuzzy_squashed,
014,BATAGRAM,006,BATAGRAM DISTRICT,KHYBER PAKHTUNKHWA,60,9618217B42013741972359,Batagram,BATAGRAM,exact_name,
015,GHAZI,007,HARIPUR DISTRICT,KHYBER PAKHTUNKHWA,67,9618217B18056507833425,Ghazi,HARIPUR,exact_name,
016,HARIPUR,007,HARIPUR DISTRICT,KHYBER PAKHTUNKHWA,203,9618217B53516127317768,Haripur,HARIPUR,exact_name,
619,KHANPUR,007,HARIPUR DISTRICT,KHYBER PAKHTUNKHWA,92,9618217B53516127317768,Haripur,HARIPUR,parent,
017,DASSU,008,KOHISTAN DISTRICT,KHYBER PAKHTUNKHWA,172,9618217B96945867102806,Dassu,KOHISTAN,exact_name,
018,KANDIA,008,KOHISTAN DISTRICT,KHYBER PAKHTUNKHWA,191,9618217B42691934354201,Kandia,KOHISTAN,exact_name,
654,HARBAN BHASHA,008,KOHISTAN DISTRICT,KHYBER PAKHTUNKHWA,40,9618217B96945867102806,Dassu,KOHISTAN,parent,
655,SEO,008,KOHISTAN DISTRICT,KHYBER PAKHTUNKHWA,102,9618217B96945867102806,Dassu,KOHISTAN,parent,
021,BALA KOT,009,MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,65,9618217B1796422743035,Balakot,MANSEHRA,exact_name,
022,MANSEHRA,009,MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,174,9618217B1764376648259,Mansehra,MANSEHRA,exact_name,
023,OGHI,009,MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,44,9618217B99515953512230,Oghi,MANSEHRA,exact_name,
615,DARBAND,009,MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,27,9618217B99515953512230,Oghi,MANSEHRA,approx,
616,BAFFA PAKHAL,009,MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,87,9618217B1764376648259,Mansehra,MANSEHRA,parent,
024,JUDBA TEHSIL,010,TORGHAR DISTRICT,KHYBER PAKHTUNKHWA,43,9618217B27486600301498,Torgher,TORGHAR,only_tehsil_in_district,
600,KANDER TEHSIL,010,TORGHAR DISTRICT,KHYBER PAKHTUNKHWA,54,9618217B27486600301498,Torgher,TORGHAR,only_tehsil_in_district,
025,HANGU,011,HANGU DISTRICT,KHYBER PAKHTUNKHWA,35,9618217B72358395847423,Hangu,HANGU,exact_name,
026,TAL,011,HANGU DISTRICT,KHYBER PAKHTUNKHWA,14,9618217B83339690098586,Tall,HANGU,contained,
027,BANDA DAUD SHAH,012,KARAK DISTRICT,KHYBER PAKHTUNKHWA,52,9618217B86538766181056,Banda Daud Shah,KARAK,exact_name,
028,KARAK,012,KARAK DISTRICT,KHYBER PAKHTUNKHWA,52,9618217B36434785765551,Karak,KARAK,exact_name,
029,TAKHT-E-NASRATI,012,KARAK DISTRICT,KHYBER PAKHTUNKHWA,15,9618217B28657250175694,Takht E Nasrati,KARAK,exact_name,
030,KOHAT TEHSIL,013,KOHAT DISTRICT,KHYBER PAKHTUNKHWA,97,9618217B37478017823501,Kohat,KOHAT,exact_name,
031,LACHI,013,KOHAT DISTRICT,KHYBER PAKHTUNKHWA,51,9618217B45474288177233,Lachi,KOHAT,exact_name,
607,TRIBAL AREA ADJ. KOHAT DISTRICT,013,KOHAT DISTRICT,KHYBER PAKHTUNKHWA,27,9618217B37478017823501,Kohat,KOHAT,contained,
032,DAGGAR (BUNER),014,BUNER DISTRICT,KHYBER PAKHTUNKHWA,50,9618217B69506225279330,Daggar,BUNER,contained,
033,GAGRA,014,BUNER DISTRICT,KHYBER PAKHTUNKHWA,55,9618217B56430132914599,Gagra,BUNER,exact_name,
034,KHADO KHEL,014,BUNER DISTRICT,KHYBER PAKHTUNKHWA,28,9618217B53498554126513,Khado Khel,BUNER,exact_name,
035,MANDANR,014,BUNER DISTRICT,KHYBER PAKHTUNKHWA,33,9618217B69506225279330,Daggar,BUNER,approx,
037,MASTUJ TEHSIL,015,CHITRAL UPPER,KHYBER PAKHTUNKHWA,88,9618217B15142704211186,Mastuj,CHITRAL,exact_name,
630,TORKHOW/MULKHOW TEHSIL,015,CHITRAL UPPER,KHYBER PAKHTUNKHWA,74,9618217B15142704211186,Mastuj,CHITRAL,parent,
038,ADENZAI SUB-DIVISION,016,LOWER DIR DISTRICT,KHYBER PAKHTUNKHWA,219,9618217B4451792369461,Adenzai,LOWERDIR,exact_name,
039,LAL QILA SUB-DIVISION,016,LOWER DIR DISTRICT,KHYBER PAKHTUNKHWA,162,9618217B49164558096656,Lalqilla,LOWERDIR,variant,
040,SAMARBAGH SUB-DIVISION,016,LOWER DIR DISTRICT,KHYBER PAKHTUNKHWA,338,9618217B88301409575294,Samarbagh(Barwa),LOWERDIR,contained,
041,TEMERGARA SUB-DIVISION,016,LOWER DIR DISTRICT,KHYBER PAKHTUNKHWA,388,9618217B87730202746425,Temergara,LOWERDIR,exact_name,
625,BATKHELA,017,MALAKAND PROTECTED AREA,KHYBER PAKHTUNKHWA,11,9618217B91992316601631,Swat Ranizai,MALAKAND,parent,
626,DARGAI,017,MALAKAND PROTECTED AREA,KHYBER PAKHTUNKHWA,17,9618217B54248563822765,Sam Ranizai,MALAKAND,parent,
627,THANA BAIZAI,017,MALAKAND PROTECTED AREA,KHYBER PAKHTUNKHWA,6,9618217B91992316601631,Swat Ranizai,MALAKAND,approx,
044,ALPURI,018,SHANGLA DISTRICT,KHYBER PAKHTUNKHWA,79,9618217B67800644266725,Alpuri,SHANGLA,exact_name,
045,PURAN,018,SHANGLA DISTRICT,KHYBER PAKHTUNKHWA,21,9618217B85285460066544,Puran,SHANGLA,exact_name,
596,BISHAM,018,SHANGLA DISTRICT,KHYBER PAKHTUNKHWA,11,9618217B47007823281887,Bisham,SHANGLA,exact_name,
046,BABUZAI,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,29,9618217B96227356091196,Babuzai,SWAT,exact_name,
047,BEHRAIN,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,35,9618217B66331326355874,Bahrain,SWAT,fuzzy_squashed,
048,BARIKOT,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,13,9618217B68002200879702,Barikot,SWAT,exact_name,
049,CHARBAGH,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,16,9618217B24557098667068,Charbagh,SWAT,exact_name,
050,KABAL,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,35,9618217B36757297695869,Kabal,SWAT,exact_name,
051,KHAWAZAKHELA,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,29,9618217B23020330942802,Khawaza Khela,SWAT,exact_name,
052,MATTA,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,39,9618217B40124352215218,Matta,SWAT,exact_name,
656,SWAT,019,SWAT DISTRICT,KHYBER PAKHTUNKHWA,16,9618217B96227356091196,Babuzai,SWAT,approx,
053,DIR SUB-DIVISION,020,UPPER DIR DISTRICT,KHYBER PAKHTUNKHWA,260,9618217B75611380767926,Dir,UPPERDIR,exact_name,
054,SHARINGAL SUB-DIVISION,020,UPPER DIR DISTRICT,KHYBER PAKHTUNKHWA,175,9618217B41054895723693,Sharingal,UPPERDIR,exact_name,
055,WARI SUB-DIVISION,020,UPPER DIR DISTRICT,KHYBER PAKHTUNKHWA,222,9618217B67850657595713,Wari,UPPERDIR,exact_name,
056,KATLANG,021,MARDAN DISTRICT,KHYBER PAKHTUNKHWA,29,9618217B26511611890245,Katlang,MARDAN,exact_name,
057,MARDAN,021,MARDAN DISTRICT,KHYBER PAKHTUNKHWA,51,9618217B99815948205781,Mardan,MARDAN,exact_name,
058,TAKHT BHAI,021,MARDAN DISTRICT,KHYBER PAKHTUNKHWA,38,9618217B56941601966296,Takht Bhai,MARDAN,exact_name,
623,RUSTAM SUDHAM,021,MARDAN DISTRICT,KHYBER PAKHTUNKHWA,36,9618217B26511611890245,Katlang,MARDAN,approx,
635,GARHI KAPURA,021,MARDAN DISTRICT,KHYBER PAKHTUNKHWA,18,9618217B56941601966296,Takht Bhai,MARDAN,parent,
059,LAHORE (CHOUTA),022,SWABI DISTRICT,KHYBER PAKHTUNKHWA,34,9618217B21660428778225,Lahor,SWABI,contained,
060,RAZAR,022,SWABI DISTRICT,KHYBER PAKHTUNKHWA,35,9618217B51199303566894,Razar,SWABI,exact_name,
061,SWABI,022,SWABI DISTRICT,KHYBER PAKHTUNKHWA,27,9618217B86482218713484,Swabi,SWABI,exact_name,
062,TOPI,022,SWABI DISTRICT,KHYBER PAKHTUNKHWA,61,9618217B62060167615722,Topi,SWABI,exact_name,
063,CHARSADDA,023,CHARSADDA DISTRICT,KHYBER PAKHTUNKHWA,103,9618217B75469142361220,Charsadda,CHARSADDA,exact_name,
064,SHABQADAR,023,CHARSADDA DISTRICT,KHYBER PAKHTUNKHWA,48,9618217B19186468029110,Shabqadar,CHARSADDA,exact_name,
065,TANGI,023,CHARSADDA DISTRICT,KHYBER PAKHTUNKHWA,54,9618217B49069937374752,Tangi,CHARSADDA,exact_name,
066,NOWSHERA TEHSIL,024,NOWSHERA DISTRICT,KHYBER PAKHTUNKHWA,60,9618217B14540535558764,Nowshera,NOWSHERA,exact_name,
067,PABBI,024,NOWSHERA DISTRICT,KHYBER PAKHTUNKHWA,54,9618217B85805369832497,Pabbi,NOWSHERA,exact_name,
546,JEHANGIRA,024,NOWSHERA DISTRICT,KHYBER PAKHTUNKHWA,45,9618217B14540535558764,Nowshera,NOWSHERA,approx,
608,HASSAN KHEL SUB-DIVISION,025,PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,39,9618217B72269656705038,Fr Peshawar,PESHAWAR,parent,
639,MATTANI,025,PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,30,9618217B72269656705038,Fr Peshawar,PESHAWAR,approx,
640,PESHAWAR CANTT,025,PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,33,9618217B11440538053000,Peshawar Cantonment,PESHAWAR,fuzzy,
641,PESHAWAR CITY,025,PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,50,9618217B32153440891541,Peshawar I,PESHAWAR,fuzzy_squashed,
642,SHAH ALAM,025,PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,166,9618217B71604704168129,Peshawar Iv,PESHAWAR,approx,
448,BAR CHAMER KAND TEHSIL,115,BAJAUR DISTRICT,KHYBER PAKHTUNKHWA,7,9618217B38361138378149,Bar Chamarkand,BAJAURAGENCY,variant,
449,BARANG TEHSIL,115,BAJAUR DISTRICT,KHYBER PAKHTUNKHWA,54,9618217B27103402875346,Barang,BAJAURAGENCY,exact_name,
450,KHAR BAJAUR TEHSIL,115,BAJAUR DISTRICT,KHYBER PAKHTUNKHWA,86,9618217B31254576320005,Khar,BAJAURAGENCY,contained,
