district_key,pbs_name,province,fies_modsev_pct
abbottabad,Abbottabad,KP,16
attock,Attock,Punjab,7
awaran,Awaran,Balochistan,36
badin,Badin,Sindh,29
bahawalnagar,Bahawalnagar,Punjab,23
bahawalpur,Bahawalpur,Punjab,21
bajaur agency,Bajur,KP,17
bannu,Bannu,KP,18
barkhan,Barkhan,Balochistan,49
batagram,Batagram,KP,29
bhakkar,Bhakhar,Punjab,15
chakwal,Chakwal,Punjab,13
chiniot,Chiniot,Punjab,13
chitral,Chitral,KP,12
dadu,Dadu,Sindh,25
dera bugti,Dera Bugti,Balochistan,34
faisalabad,Faisalabad,Punjab,9
ghotki,Ghotki,Sindh,14
gujranwala,Gujranwala,Punjab,11
gujrat,Gujrat,Punjab,4
gwadar,Gwadar,Balochistan,5
hafizabad,Hafizabad,Punjab,10
hangu,Hangu,KP,9
haripur,Haripur,KP,18
harnai,Harnai,Balochistan,5
hyderabad,Hyderabad,Sindh,17
islamabad,Islamabad,Punjab,8
jacobabad,Jacobabad,Sindh,21
jaffarabad,Jaffarabad,Balochistan,40
jamshoro,Jamshoro,Sindh,35
jhang,Jhang,Punjab,26
kachhi,Kachhi (Bolan),Balochistan,25
kalat,Kalat,Balochistan,19
kambar shahdadkot,Shahdadkot,Sindh,22
karachi central,Karachi Central,Sindh,9
karachi east,Karachi East,Sindh,10
karachi south,Karachi South,Sindh,9
karachi west,Karachi West,Sindh,12
karak,Karak,KP,8
kashmore,Kashmore,Sindh,27
kasur,Kasur,Punjab,29
kech,Ketch,Balochistan,13
khairpur,Khairpur,Sindh,34
khanewal,Khanewal,Punjab,25
kharan,Kharan,Balochistan,17
khushab,Khushab,Punjab,13
khuzdar,Khuzdar,Balochistan,30
khyber agency,Khyber,KP,6
killa abdullah,Qilla Abdullah,Balochistan,27
killa saifullah,Qilla Saifullah,Balochistan,23
kohat,Kohat,KP,13
kohistan,Kohistan,KP,24
kohlu,Kohlu,Balochistan,12
korangi,Korangi,Sindh,8
kurram agency,Kurram,KP,9
lahore,Lahore,Punjab,18
lakki marwat,Lakki Marwat,KP,12
larkana,Larkana,Sindh,17
lasbela,Lasbela,Balochistan,17
layyah,Layyah,Punjab,26
lodhran,Lodhran,Punjab,23
loralai,Loralai,Balochistan,25
lower dir,Lower Dir,KP,20
malakand,Malakand,KP,8
malir,Karachi Malir,Sindh,10
mansehra,Mansehra,KP,13
mardan,Mardan,KP,18
mastung,Mastung,Balochistan,13
matiari,Matiari,Sindh,21
mianwali,Mianwali,Punjab,12
mirpurkhas,Mir Pur Khas,Sindh,13
mohmand agency,Mohmand,KP,20
multan,Multan,Punjab,17
muzaffargarh,Muzaffar Garh,Punjab,25
nankana sahib,Nankana Sahib,Punjab,13
narowal,Narowal,Punjab,13
north waziristan agency,North Waziristan,KP,10
nowshera,Nowshera,KP,11
nushki,Nushki,Balochistan,17
okara,Okara,Punjab,4
orakzai agency,Orakzai,KP,9
pakpattan,Pakpattan,Punjab,9
peshawar,Peshawar,KP,11
pishin,Pishin,Balochistan,21
quetta,Quetta,Balochistan,24
rahim yar khan,Rahim Yar Khan,Punjab,21
rajanpur,Rajanpur,Punjab,17
rawalpindi,Rawalpindi,Punjab,9
sahiwal,Sahiwal,Punjab,8
sanghar,Sanghar,Sindh,23
sargodha,Sargodha,Punjab,16
shaheed benazirabad,Shaheed Sikandar Abad,Sindh,22
shangla,Shangla,KP,4
sheikhupura,Sheikhupura,Punjab,18
shikarpur,Shikarpur,Sindh,23
sialkot,Sialkot,Punjab,10
sohbatpur,Sohbatpur,Balochistan,41
south waziristan agency,South Waziristan,KP,26
sukkur,Sukkur,Sindh,16
swabi,Swabi,KP,10
swat,Swat,KP,17
tando allah yar,Tando Allah Yar,Sindh,33
tando muhammad khan,Tando Muhammad Khan,Sindh,26
tank,Tank,KP,32
tharparkar,Tharparkar,Sindh,18
thatta,Thatta,Sindh,27
tor ghar,Tor Garh,KP,14
umerkot,Umer Kot,Sindh,25
upper dir,Upper Dir,KP,19
vehari,Vehari,Punjab,13
washuk,Washuk,Balochistan,12
