district,girls_pop_5_16,girls_enrolled_5_16,girls_never_5_16,boys_pop_5_16,boys_enrolled_5_16,boys_never_5_16,girls_rural_pop_5_16,girls_rural_enrolled_5_16,girls_rural_never_5_16,boys_rural_pop_5_16,boys_rural_enrolled_5_16,boys_rural_never_5_16,girls_urban_pop_5_16,girls_urban_enrolled_5_16,girls_urban_never_5_16,boys_urban_pop_5_16,boys_urban_enrolled_5_16,boys_urban_never_5_16,girls_out_of_school_5_16,boys_out_of_school_5_16,girls_rural_out_of_school_5_16,boys_rural_out_of_school_5_16,girls_urban_out_of_school_5_16,boys_urban_out_of_school_5_16,constituents,girls_in_school_pct,boys_in_school_pct,girls_rural_in_school_pct,boys_rural_in_school_pct,girls_urban_in_school_pct,boys_urban_in_school_pct,enrol_gap_pp,district_key,release
Abbottabad,190703.0,165063.0,10380.0,193531.0,169912.0,8526.0,149516.0,128575.0,8198.0,150439.0,132771.0,6054.0,41187.0,36488.0,2182.0,43092.0,37141.0,2472.0,25640.0,23619.0,20941.0,17668.0,4699.0,5951.0,Abbottabad,86.56,87.8,85.99,88.26,88.59,86.19,1.24,abbottabad,2026-09
Attock,270452.0,218545.0,25983.0,274847.0,225986.0,19531.0,193527.0,155113.0,18470.0,195349.0,161567.0,12150.0,76925.0,63432.0,7513.0,79498.0,64419.0,7381.0,51907.0,48861.0,38414.0,33782.0,13493.0,15079.0,Attock,80.81,82.22,80.15,82.71,82.46,81.03,1.41,attock,2026-09
Awaran,31602.0,14785.0,15546.0,33141.0,16382.0,15393.0,23658.0,10309.0,12449.0,24806.0,11867.0,11951.0,7944.0,4476.0,3097.0,8335.0,4515.0,3442.0,16817.0,16759.0,13349.0,12939.0,3468.0,3820.0,Awaran,46.79,49.43,43.58,47.84,56.34,54.17,2.64,awaran,2026-09
Badin,291444.0,86352.0,190973.0,330985.0,153860.0,161155.0,229769.0,55878.0,163555.0,263282.0,110440.0,141015.0,61675.0,30474.0,27418.0,67703.0,43420.0,20140.0,205092.0,177125.0,173891.0,152842.0,31201.0,24283.0,Badin,29.63,46.49,24.32,41.95,49.41,64.13,16.86,badin,2026-09
Bahawalnagar,504306.0,333220.0,116164.0,575567.0,374727.0,115622.0,369858.0,227084.0,101364.0,419217.0,263001.0,96216.0,134448.0,106136.0,14800.0,156350.0,111726.0,19406.0,171086.0,200840.0,142774.0,156216.0,28312.0,44624.0,Bahawalnagar,66.07,65.11,61.4,62.74,78.94,71.46,-0.96,bahawalnagar,2026-09
Bahawalpur,626087.0,370605.0,195337.0,642265.0,381750.0,180622.0,403069.0,203175.0,158617.0,411952.0,213859.0,146944.0,223018.0,167430.0,36720.0,230313.0,167891.0,33678.0,255482.0,260515.0,199894.0,198093.0,55588.0,62422.0,Bahawalpur,59.19,59.44,50.41,51.91,75.07,72.9,0.25,bahawalpur,2026-09
Bajaur Agency,229248.0,46922.0,173804.0,233413.0,118175.0,105984.0,229248.0,46922.0,173804.0,233413.0,118175.0,105984.0,0.0,0.0,0.0,0.0,0.0,0.0,182326.0,115238.0,182326.0,115238.0,0.0,0.0,Bajaur Agency,20.47,50.63,20.47,50.63,,,30.16,bajaur agency,2026-09
Bannu,206275.0,80856.0,115627.0,241231.0,148226.0,80679.0,199650.0,75853.0,114483.0,233316.0,142406.0,79661.0,6625.0,5003.0,1144.0,7915.0,5820.0,1018.0,125419.0,93005.0,123797.0,90910.0,1622.0,2095.0,Bannu,39.2,61.45,37.99,61.04,75.52,73.53,22.25,bannu,2026-09
Barkhan,37201.0,9089.0,27002.0,42611.0,24190.0,16226.0,34875.0,7603.0,26290.0,39916.0,22267.0,15868.0,2326.0,1486.0,712.0,2695.0,1923.0,358.0,28112.0,18421.0,27272.0,17649.0,840.0,772.0,Barkhan,24.43,56.77,21.8,55.78,63.89,71.35,32.34,barkhan,2026-09
Batagram,91600.0,37707.0,46107.0,99555.0,63997.0,29673.0,91600.0,37707.0,46107.0,99555.0,63997.0,29673.0,0.0,0.0,0.0,0.0,0.0,0.0,53893.0,35558.0,53893.0,35558.0,0.0,0.0,Batagram,41.16,64.28,41.16,64.28,,,23.12,batagram,2026-09
