region,district_key,district,all_km,boys_km,girls_km,gap_km,all_min,boys_min,girls_min,gap_min,tt_caveat,girls_in_school_pct_5_16,boys_in_school_pct_5_16,enrol_gap_pp_boys_minus_girls,living_standards_deprivation_pslm,material_deprivation_pslm,schools_listed,schools_with_coords,schools_in_analysis,boys_high_median_km,boys_middle_median_km,boys_primary_median_km,girls_high_median_km,girls_middle_median_km,girls_primary_median_km,boys_high_share_over_5km,boys_middle_share_over_5km,boys_primary_share_over_5km,girls_high_share_over_5km,girls_middle_share_over_5km,girls_primary_share_over_5km,girls_primary_n_schools,boys_primary_n_schools,girls_middle_n_schools,boys_middle_n_schools,girls_high_n_schools,boys_high_n_schools,girls_km_mixed,boys_km_mixed,gap_km_mixed,girls_km_attend,boys_km_attend,gap_km_attend,release
AJK (Mirpur+Kotli),kotli,Kotli,1.786,2.248,1.995,-0.253,31.532,38.684,33.944,-4.74,,,,,,,936,462,461,2.82,2.237,1.39,2.714,2.024,1.506,0.1652,0.0475,0.0086,0.1089,0.0317,0.0061,145,172,68,58,36,32,,,,,,,2026-09
AJK (Mirpur+Kotli),mirpur,Mirpur,1.746,2.006,1.862,-0.144,28.971,29.174,29.043,-0.132,,,,,,,431,322,302,2.335,2.057,1.679,2.285,1.929,1.527,0.1055,0.0415,0.0152,0.0525,0.0429,0.0214,146,107,65,49,29,27,,,,,,,2026-09
Balochistan,awaran,Awaran,10.902,10.969,18.14,7.171,225.681,226.348,362.567,136.219,mountain/desert: upper bound,46.79,49.43,2.64,0.50688,0.6129,381,262,262,14.509,10.978,6.894,23.203,18.182,13.83,0.7657,0.7143,0.5951,0.8889,0.8275,0.7703,69,197,25,54,13,33,,,,,,,2026-09
Balochistan,barkhan,Barkhan,3.617,4.395,4.736,0.34,67.919,82.357,89.407,7.05,,24.43,56.77,32.34,0.49528,0.6491499999999999,657,627,627,5.542,4.39,1.559,7.663,4.744,2.419,0.5609,0.4341,0.1057,0.6986,0.4746,0.2186,194,422,35,34,11,19,,,,,,,2026-09
Balochistan,chaghi,Chaghi,15.21,15.239,21.537,6.298,315.98,316.583,437.281,120.698,,27.78,32.31,4.53,,,319,281,281,21.326,15.258,6.835,35.382,21.572,13.911,0.9054,0.846,0.6241,0.9412,0.9166,0.8015,89,201,30,43,12,23,,,,,,,2026-09
Balochistan,dera bugti,Dera Bugti,8.637,8.779,15.3,6.521,167.686,169.104,283.499,114.395,,,,,,,418,332,332,10.043,8.743,6.215,18.213,15.289,9.622,0.7605,0.7001,0.568,0.8963,0.8448,0.7437,66,254,18,59,7,32,,,,,,,2026-09
Balochistan,gwadar,Gwadar,6.797,7.147,13.852,6.705,122.635,128.735,254.052,125.317,,61.31,69.65,8.34,0.18988,0.167875,313,287,287,11.677,7.14,3.875,21.189,13.859,5.845,0.7949,0.6427,0.3985,0.8742,0.7666,0.5545,75,153,23,35,9,17,,,,,,,2026-09
Balochistan,harnai,Harnai,3.035,3.276,4.236,0.96,54.057,59.709,78.107,18.398,,24.66,34.08,9.42,0.54548,0.447025,208,196,196,4.28,3.275,2.046,5.294,4.238,2.626,0.4468,0.3471,0.2355,0.5224,0.4581,0.2606,78,124,23,27,10,14,,,,,,,2026-09
Balochistan,jaffarabad,Jaffarabad,1.955,2.078,3.071,0.993,33.941,36.161,54.182,18.021,,29.99,40.93,10.94,0.4727599999999999,0.437475,616,550,550,3.11,2.068,0.802,4.231,3.044,1.334,0.2425,0.0704,0.0004,0.4264,0.248,0.0421,187,436,35,76,16,28,,,,,,,2026-09
Balochistan,jhal magsi,Jhal Magsi,4.45,4.939,7.754,2.815,82.554,91.774,139.382,47.608,,,,,,,318,298,298,7.202,4.983,2.304,12.286,7.765,3.554,0.6474,0.4981,0.159,0.8019,0.6653,0.3368,97,181,24,33,9,19,,,,,,,2026-09
