dd_id,tehsil,district_key,region,coord_tier,pop,coverage_pct,girls_primary_km,boys_primary_km,gap_primary_km,girls_middle_km,boys_middle_km,gap_middle_km,girls_high_km,boys_high_km,gap_high_km,girls_middle_over5km_pct,boys_middle_over5km_pct,girls_primary_schools,boys_primary_schools,girls_middle_schools,boys_middle_schools,girls_high_schools,boys_high_schools,girls_share_middle_pct,release
9618217B15093186041287,Nakial,kotli,AJK (Mirpur+Kotli),C,103751,91.3,1.8,1.43,0.37,2.07,2.63,-0.56,3.58,4.57,-0.99,0.0,3.4,16,26,10,5,2,2,66.7,2026-09
9618217B87362341551768,Sehnsa,kotli,AJK (Mirpur+Kotli),C,88893,97.7,1.65,1.64,0.01,2.16,2.22,-0.06,2.48,2.97,-0.49,7.3,7.8,36,34,16,15,10,6,51.6,2026-09
9618217B93166287325125,Kotli,kotli,AJK (Mirpur+Kotli),C,495131,98.2,1.39,1.31,0.08,1.94,2.12,-0.18,2.53,2.56,-0.03,2.5,3.5,100,122,46,41,25,26,52.9,2026-09
9618217B37808039502792,Dudyal,mirpur,AJK (Mirpur+Kotli),C,83426,99.2,2.07,2.18,-0.11,2.39,2.25,0.14,3.06,2.35,0.71,12.9,15.1,70,34,30,22,8,10,57.7,2026-09
9618217B94086344698677,Mirpur,mirpur,AJK (Mirpur+Kotli),C,211543,92.2,1.4,1.5,-0.1,1.66,1.93,-0.27,2.06,2.26,-0.2,0.5,0.5,79,75,38,28,22,17,57.6,2026-09
9618217B50287416070494,Gishkore Sub,awaran,Balochistan,A,15800,100.0,26.67,20.91,5.76,43.75,26.95,16.8,47.56,37.08,10.48,98.3,87.7,0,13,0,3,0,2,0.0,2026-09
9618217B51211868721813,Jhal Jhao,awaran,Balochistan,A,6712,100.0,12.58,5.52,7.06,17.25,8.71,8.54,18.27,9.81,8.46,92.3,75.6,3,13,1,2,1,1,33.3,2026-09
9618217B69007943455910,Jhal Jhao Sub,awaran,Balochistan,A,60573,100.0,23.71,9.68,14.03,30.01,18.0,12.01,35.02,29.8,5.22,95.2,85.4,9,44,3,13,1,8,18.8,2026-09
9618217B85729493897021,Mashkai,awaran,Balochistan,A,39331,100.0,5.64,3.72,1.92,8.25,5.56,2.69,13.76,6.23,7.53,68.0,53.6,34,64,8,17,3,10,32.0,2026-09
9618217B88045410049707,Awaran,awaran,Balochistan,A,24560,100.0,7.52,3.56,3.96,8.35,5.57,2.78,8.98,5.89,3.09,62.9,53.1,23,63,13,18,8,12,41.9,2026-09
