region,geography_type,district_key,sex,level,network_schools,pop,mean_km,median_km,share_over_2km,share_over_5km,share_over_10km,tier,sector,release
AJK (Mirpur+Kotli),region,,girls,primary,377,1016786,1.701,1.514,0.3288,0.0108,0.0,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,mirpur,girls,primary,377,313137,1.771,1.527,0.3533,0.0214,0.0,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,kotli,girls,primary,377,703649,1.671,1.506,0.3178,0.0061,0.0,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),region,,boys,primary,386,1016786,1.705,1.465,0.3179,0.0106,0.0,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,mirpur,boys,primary,386,313137,1.921,1.679,0.4018,0.0152,0.0,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,kotli,boys,primary,386,703649,1.609,1.39,0.2805,0.0086,0.0,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),region,,girls,middle,164,1016786,2.206,2.006,0.502,0.0352,0.0011,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,mirpur,girls,middle,164,313137,2.162,1.929,0.4794,0.0429,0.0006,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,kotli,girls,middle,164,703649,2.226,2.024,0.512,0.0317,0.0013,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),region,,boys,middle,130,1016786,2.372,2.148,0.5559,0.0456,0.0012,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,mirpur,boys,middle,130,313137,2.273,2.057,0.5191,0.0415,0.0006,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,kotli,boys,middle,130,703649,2.416,2.237,0.5724,0.0475,0.0015,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),region,,girls,high,83,1016786,2.787,2.561,0.6577,0.0915,0.0011,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,mirpur,girls,high,83,313137,2.468,2.285,0.6085,0.0525,0.0006,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,kotli,girls,high,83,703649,2.929,2.714,0.6796,0.1089,0.0013,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),region,,boys,high,70,1016786,3.027,2.733,0.6808,0.1468,0.0014,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,mirpur,boys,high,70,313137,2.724,2.335,0.6205,0.1055,0.0006,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
AJK (Mirpur+Kotli),district,kotli,boys,high,70,703649,3.163,2.82,0.7076,0.1652,0.0017,"C: 2 of 10 districts, geocoded 58%",government schools only,2026-09
Balochistan,region,,girls,primary,3932,8053780,6.519,3.041,0.6053,0.3829,0.2115,A: GPS at source,government schools only,2026-09
Balochistan,district,killa abdullah,girls,primary,3932,389514,6.062,3.375,0.662,0.4026,0.2273,A: GPS at source,government schools only,2026-09
Balochistan,district,sohbatpur,girls,primary,3932,139730,1.247,0.996,0.1006,0.0135,0.009,A: GPS at source,government schools only,2026-09
Balochistan,district,sherani,girls,primary,3932,112862,8.617,5.437,0.8598,0.5357,0.2699,A: GPS at source,government schools only,2026-09
Balochistan,district,awaran,girls,primary,3932,147234,18.43,13.83,0.8839,0.7703,0.6171,A: GPS at source,government schools only,2026-09
Balochistan,district,barkhan,girls,primary,3932,123732,3.37,2.419,0.5708,0.2186,0.048,A: GPS at source,government schools only,2026-09
